------------------------------------------------------------------------------------------------------------------------
Vector testing report
Params:
    conf: "conf/check_1602604387.hocon"

Collected 995 files with 0 errors

------------------------------------------------------------------------------------------------------------------------
Metric: "auroc"
                                       scores_valid                                                              scores_test
                                               mean  t_pm t_int_l t_int_h   std                           values        mean  t_pm t_int_l t_int_h   std                           values
model_name feature_name
           embedding_base_256_mf_1400       *** 0.556 0.023   0.533   0.579 0.019  [0.541 0.539 0.550 0.571 0.581]       0.567 0.014   0.552   0.581 0.012  [0.574 0.569 0.546 0.573 0.571]
           embedding_base_256_mf_1500       *** 0.555 0.018   0.536   0.573 0.015  [0.546 0.539 0.548 0.565 0.575]       0.571 0.015   0.556   0.587 0.012  [0.578 0.565 0.557 0.589 0.567]
           embedding_base_256_mf_1600           0.549 0.023   0.526   0.573 0.019  [0.540 0.528 0.542 0.563 0.574]       0.563 0.015   0.548   0.578 0.012  [0.559 0.569 0.566 0.578 0.545]

           embedding_base_256_sigma_0001        0.493 0.011   0.482   0.504 0.009  [0.482 0.487 0.500 0.492 0.503]       0.500 0.016   0.484   0.516 0.013  [0.522 0.497 0.501 0.488 0.492]
           embedding_base_256_sigma_0005        0.493 0.010   0.483   0.502 0.008  [0.490 0.481 0.503 0.494 0.495]       0.519 0.012   0.506   0.531 0.010  [0.523 0.509 0.530 0.507 0.523]
           embedding_base_256_sigma_0010        0.496 0.010   0.485   0.506 0.008  [0.496 0.485 0.490 0.504 0.503]       0.514 0.020   0.495   0.534 0.016  [0.501 0.509 0.539 0.502 0.522]
           embedding_base_256_sigma_0020        0.496 0.012   0.484   0.507 0.010  [0.501 0.484 0.501 0.487 0.505]       0.516 0.019   0.497   0.535 0.016  [0.497 0.536 0.528 0.510 0.509]
           embedding_base_256_sigma_0040        0.504 0.013   0.491   0.518 0.011  [0.487 0.506 0.505 0.508 0.516]       0.513 0.019   0.494   0.532 0.015  [0.499 0.527 0.521 0.525 0.494]
           embedding_base_256_sigma_0080        0.512 0.007   0.505   0.520 0.006  [0.503 0.518 0.512 0.515 0.514]       0.528 0.016   0.513   0.544 0.012  [0.524 0.531 0.536 0.541 0.509]
           embedding_base_256_sigma_0100        0.513 0.010   0.502   0.523 0.008  [0.501 0.522 0.508 0.515 0.518]       0.532 0.019   0.513   0.550 0.015  [0.521 0.538 0.528 0.554 0.516]
           embedding_base_256_sigma_0120        0.520 0.020   0.500   0.540 0.016  [0.496 0.530 0.510 0.530 0.533]       0.525 0.019   0.505   0.544 0.016  [0.506 0.536 0.523 0.544 0.514]
           embedding_base_256_sigma_0200        0.530 0.015   0.515   0.545 0.012  [0.530 0.526 0.512 0.540 0.541]       0.541 0.010   0.531   0.551 0.008  [0.539 0.543 0.549 0.546 0.528]
           embedding_base_256_sigma_0300        0.535 0.012   0.523   0.547 0.010  [0.541 0.528 0.523 0.535 0.548]       0.547 0.012   0.535   0.560 0.010  [0.551 0.551 0.545 0.558 0.532]
           embedding_base_256_sigma_0400        0.536 0.013   0.523   0.549 0.010  [0.543 0.524 0.526 0.542 0.546]       0.543 0.013   0.530   0.557 0.011  [0.532 0.548 0.554 0.551 0.532]
           embedding_base_256_sigma_0600        0.538 0.008   0.530   0.546 0.006  [0.531 0.536 0.535 0.538 0.548]       0.541 0.009   0.532   0.550 0.007  [0.542 0.549 0.546 0.530 0.540]
           embedding_base_256_sigma_0700        0.540 0.014   0.526   0.554 0.011  [0.531 0.532 0.533 0.547 0.556]       0.537 0.010   0.527   0.547 0.008  [0.534 0.552 0.536 0.533 0.531]
           embedding_base_256_sigma_0800        0.541 0.008   0.532   0.549 0.007  [0.538 0.537 0.534 0.552 0.541]       0.532 0.012   0.520   0.543 0.009  [0.521 0.545 0.536 0.529 0.526]
           embedding_base_256_sigma_0900        0.540 0.018   0.522   0.558 0.014  [0.544 0.525 0.526 0.558 0.548]       0.529 0.019   0.510   0.548 0.015  [0.514 0.550 0.526 0.538 0.516]
           embedding_base_256_sigma_1000        0.542 0.008   0.533   0.550 0.006  [0.540 0.532 0.547 0.542 0.548]       0.543 0.016   0.526   0.559 0.013  [0.522 0.553 0.556 0.542 0.540]
           embedding_base_256_sigma_1100        0.548 0.014   0.534   0.561 0.011  [0.546 0.538 0.537 0.565 0.551]       0.533 0.013   0.520   0.546 0.011  [0.524 0.533 0.551 0.533 0.526]
           embedding_base_256_sigma_1200        0.539 0.010   0.528   0.549 0.008  [0.537 0.528 0.535 0.546 0.548]       0.536 0.012   0.524   0.548 0.010  [0.545 0.526 0.537 0.545 0.526]
           embedding_base_256_sigma_1300        0.544 0.012   0.532   0.555 0.010  [0.543 0.531 0.538 0.555 0.550]       0.537 0.021   0.515   0.558 0.017  [0.532 0.544 0.545 0.554 0.510]
           embedding_base_256_sigma_1400    *** 0.550 0.010   0.540   0.560 0.008  [0.549 0.539 0.546 0.559 0.557]       0.531 0.006   0.524   0.537 0.005  [0.524 0.529 0.534 0.537 0.529]
           embedding_base_256_sigma_1500        0.545 0.012   0.533   0.558 0.010  [0.536 0.540 0.539 0.556 0.556]       0.541 0.007   0.534   0.548 0.006  [0.538 0.544 0.547 0.542 0.532]
           embedding_base_256_sigma_1600        0.541 0.023   0.518   0.564 0.018  [0.545 0.522 0.522 0.562 0.554]       0.538 0.014   0.524   0.551 0.011  [0.524 0.545 0.547 0.545 0.528]

lgbm       embedding_base_256_mf_lr_0001        0.500 0.009   0.490   0.509 0.008  [0.491 0.505 0.492 0.503 0.507]       0.495 0.012   0.482   0.507 0.010  [0.501 0.483 0.504 0.485 0.500]
           embedding_base_256_mf_lr_0005        0.511 0.020   0.492   0.531 0.016  [0.513 0.517 0.491 0.533 0.502]       0.518 0.011   0.507   0.529 0.009  [0.530 0.508 0.509 0.518 0.522]
           embedding_base_256_mf_lr_0010        0.518 0.019   0.499   0.537 0.015  [0.509 0.520 0.496 0.533 0.530]       0.512 0.016   0.496   0.529 0.013  [0.511 0.497 0.510 0.510 0.534]
           embedding_base_256_mf_lr_0020        0.515 0.020   0.494   0.535 0.016  [0.534 0.510 0.497 0.530 0.504]       0.531 0.009   0.521   0.540 0.008  [0.526 0.522 0.530 0.535 0.541]
           embedding_base_256_mf_lr_0040        0.528 0.029   0.499   0.556 0.023  [0.526 0.522 0.501 0.565 0.526]       0.542 0.006   0.536   0.548 0.005  [0.547 0.547 0.535 0.541 0.540]
           embedding_base_256_mf_lr_0080        0.529 0.021   0.507   0.550 0.017  [0.527 0.525 0.517 0.558 0.517]       0.549 0.015   0.534   0.565 0.012  [0.566 0.556 0.545 0.533 0.548]
           embedding_base_256_mf_lr_0100        0.536 0.024   0.512   0.560 0.019  [0.532 0.526 0.540 0.566 0.515]       0.544 0.010   0.534   0.553 0.008  [0.546 0.530 0.546 0.546 0.551]
           embedding_base_256_mf_lr_0120        0.543 0.013   0.530   0.556 0.010  [0.537 0.542 0.539 0.561 0.535]       0.539 0.020   0.519   0.560 0.016  [0.558 0.535 0.526 0.555 0.522]
           embedding_base_256_mf_lr_0200        0.547 0.019   0.528   0.565 0.015  [0.537 0.535 0.545 0.572 0.545]       0.548 0.020   0.529   0.568 0.016  [0.526 0.564 0.554 0.560 0.538]
           embedding_base_256_mf_lr_0300        0.550 0.017   0.533   0.567 0.014  [0.541 0.552 0.533 0.568 0.555]       0.537 0.011   0.526   0.548 0.009  [0.535 0.550 0.528 0.541 0.530]
           embedding_base_256_mf_lr_0400        0.552 0.025   0.527   0.577 0.020  [0.558 0.545 0.524 0.580 0.553]       0.546 0.011   0.534   0.557 0.009  [0.537 0.559 0.539 0.551 0.542]
           embedding_base_256_mf_lr_0500        0.549 0.021   0.528   0.569 0.017  [0.554 0.544 0.525 0.570 0.550]       0.546 0.009   0.537   0.555 0.007  [0.547 0.543 0.539 0.558 0.543]
           embedding_base_256_mf_lr_0600        0.548 0.024   0.525   0.572 0.019  [0.541 0.536 0.535 0.581 0.548]       0.544 0.017   0.526   0.561 0.014  [0.552 0.545 0.543 0.558 0.521]
           embedding_base_256_mf_lr_0700        0.547 0.017   0.530   0.563 0.013  [0.550 0.535 0.534 0.567 0.548]       0.555 0.017   0.538   0.572 0.014  [0.557 0.560 0.545 0.573 0.538]
           embedding_base_256_mf_lr_0800        0.545 0.028   0.517   0.572 0.022  [0.554 0.527 0.518 0.573 0.552]       0.548 0.023   0.525   0.570 0.018  [0.550 0.556 0.550 0.565 0.517]
           embedding_base_256_mf_lr_0900    *** 0.556 0.019   0.537   0.575 0.015  [0.551 0.548 0.539 0.578 0.564]       0.555 0.016   0.539   0.571 0.013  [0.567 0.553 0.568 0.539 0.548]
           embedding_base_256_mf_lr_1000        0.545 0.020   0.524   0.565 0.016  [0.541 0.539 0.534 0.574 0.536]       0.549 0.019   0.530   0.567 0.015  [0.557 0.551 0.552 0.562 0.523]
           embedding_base_256_mf_lr_1100        0.548 0.015   0.533   0.562 0.012  [0.547 0.541 0.535 0.566 0.549]       0.539 0.016   0.523   0.554 0.013  [0.541 0.539 0.546 0.550 0.518]
           embedding_base_256_mf_lr_1200        0.545 0.020   0.524   0.565 0.017  [0.543 0.542 0.529 0.573 0.538]       0.549 0.002   0.548   0.551 0.001  [0.549 0.547 0.551 0.549 0.549]
           embedding_base_256_mf_lr_1300        0.546 0.022   0.524   0.568 0.017  [0.536 0.544 0.533 0.576 0.540]       0.543 0.014   0.530   0.557 0.011  [0.536 0.544 0.560 0.546 0.531]
           embedding_base_256_mf_lr_1400        0.542 0.021   0.521   0.563 0.017  [0.541 0.539 0.522 0.569 0.538]       0.552 0.016   0.537   0.568 0.013  [0.545 0.554 0.556 0.570 0.536]
           embedding_base_256_mf_lr_1500        0.546 0.016   0.530   0.562 0.013  [0.549 0.535 0.539 0.567 0.540]       0.555 0.015   0.540   0.570 0.012  [0.559 0.560 0.562 0.560 0.533]
           embedding_base_256_mf_lr_1600        0.544 0.022   0.522   0.567 0.018  [0.554 0.540 0.534 0.570 0.523]       0.559 0.011   0.548   0.571 0.009  [0.560 0.553 0.572 0.564 0.548]

           embedding_base_032_0001            0.495 0.016   0.479   0.511 0.013  [0.489 0.493 0.480 0.501 0.514]       0.503 0.020   0.483   0.522 0.016  [0.481 0.509 0.492 0.514 0.518]
           embedding_base_032_0005            0.501 0.017   0.484   0.518 0.014  [0.499 0.494 0.489 0.499 0.524]       0.500 0.011   0.489   0.512 0.009  [0.491 0.500 0.491 0.510 0.509]
           embedding_base_032_0010            0.508 0.015   0.492   0.523 0.012  [0.505 0.505 0.508 0.493 0.527]       0.495 0.014   0.480   0.509 0.011  [0.505 0.503 0.498 0.491 0.477]
           embedding_base_032_0020            0.511 0.019   0.492   0.530 0.015  [0.511 0.504 0.491 0.515 0.533]       0.495 0.018   0.478   0.513 0.014  [0.486 0.511 0.489 0.510 0.481]
           embedding_base_032_0040            0.507 0.010   0.497   0.516 0.008  [0.498 0.503 0.507 0.507 0.519]       0.508 0.022   0.486   0.529 0.018  [0.497 0.536 0.510 0.505 0.490]
           embedding_base_032_0080            0.518 0.010   0.508   0.528 0.008  [0.505 0.524 0.516 0.521 0.525]       0.537 0.031   0.506   0.568 0.025  [0.543 0.571 0.515 0.547 0.510]
           embedding_base_032_0100            0.517 0.011   0.506   0.528 0.009  [0.505 0.525 0.512 0.524 0.522]       0.548 0.019   0.529   0.567 0.016  [0.559 0.553 0.525 0.562 0.540]
           embedding_base_032_0120            0.520 0.016   0.505   0.536 0.013  [0.507 0.538 0.512 0.517 0.528]       0.549 0.009   0.540   0.557 0.007  [0.557 0.549 0.541 0.553 0.542]
           embedding_base_032_0200            0.527 0.004   0.523   0.531 0.003  [0.529 0.524 0.523 0.528 0.530]       0.558 0.017   0.542   0.575 0.014  [0.566 0.565 0.558 0.568 0.535]
           embedding_base_032_0300        *** 0.527 0.017   0.510   0.544 0.014  [0.516 0.527 0.515 0.549 0.530]       0.547 0.018   0.529   0.565 0.014  [0.549 0.550 0.531 0.568 0.537]
           embedding_base_032_0400            0.532 0.023   0.509   0.554 0.018  [0.524 0.534 0.520 0.562 0.517]       0.538 0.005   0.533   0.544 0.004  [0.541 0.541 0.532 0.542 0.536]
           embedding_base_032_0500            0.530 0.021   0.509   0.550 0.017  [0.523 0.535 0.513 0.556 0.521]       0.531 0.009   0.522   0.540 0.007  [0.534 0.524 0.526 0.542 0.529]
           embedding_base_032_0600            0.526 0.022   0.503   0.548 0.018  [0.524 0.531 0.512 0.553 0.508]       0.542 0.012   0.529   0.554 0.010  [0.542 0.554 0.526 0.547 0.540]
           embedding_base_032_0700            0.524 0.020   0.504   0.544 0.016  [0.538 0.520 0.505 0.542 0.513]       0.534 0.019   0.515   0.552 0.015  [0.541 0.548 0.534 0.538 0.508]
           embedding_base_032_0800            0.519 0.012   0.507   0.532 0.010  [0.523 0.516 0.516 0.534 0.506]       0.532 0.014   0.519   0.546 0.011  [0.538 0.545 0.539 0.521 0.520]
           embedding_base_032_0900            0.522 0.020   0.502   0.542 0.016  [0.537 0.505 0.511 0.542 0.515]       0.527 0.023   0.505   0.550 0.018  [0.525 0.546 0.506 0.546 0.515]
           embedding_base_032_1000            0.525 0.014   0.511   0.538 0.011  [0.530 0.519 0.510 0.539 0.525]       0.523 0.025   0.498   0.547 0.020  [0.546 0.519 0.527 0.529 0.492]
           embedding_base_032_1100            0.520 0.018   0.502   0.537 0.014  [0.526 0.512 0.513 0.542 0.506]       0.519 0.022   0.497   0.541 0.018  [0.510 0.544 0.520 0.527 0.496]
           embedding_base_032_1200            0.529 0.027   0.502   0.555 0.021  [0.530 0.518 0.522 0.564 0.509]       0.517 0.017   0.500   0.534 0.014  [0.525 0.530 0.519 0.517 0.494]
           embedding_base_032_1300            0.528 0.024   0.504   0.551 0.019  [0.524 0.526 0.516 0.560 0.513]       0.519 0.021   0.498   0.540 0.017  [0.509 0.531 0.514 0.541 0.499]
           embedding_base_032_1400            0.528 0.025   0.503   0.553 0.020  [0.526 0.522 0.518 0.562 0.510]       0.510 0.017   0.492   0.527 0.014  [0.516 0.525 0.498 0.517 0.492]
           embedding_base_032_1500            0.526 0.032   0.494   0.557 0.025  [0.532 0.507 0.524 0.565 0.501]       0.508 0.022   0.486   0.530 0.018  [0.511 0.531 0.504 0.511 0.482]
           embedding_base_032_1600            0.525 0.023   0.502   0.548 0.019  [0.524 0.516 0.521 0.556 0.506]       0.512 0.017   0.495   0.530 0.014  [0.517 0.528 0.492 0.519 0.505]

lgbm       embedding_base_032_mf_0001           0.502 0.009   0.494   0.511 0.007  [0.507 0.497 0.497 0.513 0.499]       0.541 0.022   0.519   0.562 0.017  [0.514 0.561 0.542 0.536 0.550]
           embedding_base_032_mf_0005           0.510 0.017   0.493   0.527 0.013  [0.528 0.495 0.503 0.506 0.519]       0.541 0.016   0.525   0.557 0.013  [0.519 0.551 0.538 0.550 0.547]
           embedding_base_032_mf_0010           0.510 0.011   0.499   0.521 0.009  [0.519 0.495 0.511 0.512 0.512]       0.536 0.016   0.519   0.552 0.013  [0.535 0.553 0.516 0.535 0.540]
